# x, y
0.000000000000000000e+00 1.171078491210937500e+02 2.065500335693359375e+02
0.000000000000000000e+00 1.909323730468750000e+02 2.664766540527343750e+02
2.000000000000000000e+02 3.492033386230468750e+01 4.064501190185546875e+01
1.567403869628906250e+02 2.000000000000000000e+02 9.864536285400390625e+01
0.000000000000000000e+00 2.274670410156250000e+01 6.393798828125000000e+01
0.000000000000000000e+00 3.447198486328125000e+01 8.835297393798828125e+01
2.000000000000000000e+02 1.393507385253906250e+02 8.370023345947265625e+01
6.190163040161132812e+01 0.000000000000000000e+00 1.210000038146972656e+01
1.774886169433593750e+02 2.000000000000000000e+02 9.860186004638671875e+01
1.322921752929687500e+02 2.000000000000000000e+02 9.880719757080078125e+01
5.871162414550781250e+01 0.000000000000000000e+00 1.210000038146972656e+01
5.556153106689453125e+01 0.000000000000000000e+00 1.210000038146972656e+01
2.000000000000000000e+02 7.321871948242187500e+01 5.975675964355468750e+01
1.627388610839843750e+02 2.000000000000000000e+02 9.862789154052734375e+01
2.000000000000000000e+02 9.237319946289062500e+00 2.541759109497070312e+01
2.000000000000000000e+02 2.980308532714843750e+01 3.794171905517578125e+01
1.550490875244140625e+02 0.000000000000000000e+00 1.210000038146972656e+01
1.071179656982421875e+02 0.000000000000000000e+00 1.210000038146972656e+01
0.000000000000000000e+00 1.334354858398437500e+02 2.221706695556640625e+02
2.000000000000000000e+02 2.315266418457031250e+01 3.439671325683593750e+01
0.000000000000000000e+00 1.379445190429687500e+02 2.261999664306640625e+02
0.000000000000000000e+00 1.803978881835937500e+02 2.593491210937500000e+02
7.567960357666015625e+01 0.000000000000000000e+00 1.210000038146972656e+01
7.356335449218750000e+01 2.000000000000000000e+02 1.029283218383789062e+02
6.606520080566406250e+01 0.000000000000000000e+00 1.210000038146972656e+01
2.000000000000000000e+02 1.251478576660156250e+02 7.941163635253906250e+01
1.232301635742187500e+02 2.000000000000000000e+02 9.893892669677734375e+01
0.000000000000000000e+00 1.835283813476562500e+02 2.615061645507812500e+02
1.699059143066406250e+02 2.000000000000000000e+02 9.861286163330078125e+01
0.000000000000000000e+00 1.194040527343750000e+02 2.088517608642578125e+02
0.000000000000000000e+00 7.128442382812500000e+01 1.512295837402343750e+02
6.970843505859375000e+01 2.000000000000000000e+02 1.038556213378906250e+02
2.000000000000000000e+02 3.139801025390625000e-01 1.281987190246582031e+01
1.314016151428222656e+01 0.000000000000000000e+00 1.210000038146972656e+01
0.000000000000000000e+00 1.027239379882812500e+02 1.912455596923828125e+02
2.000000000000000000e+02 2.108471679687500000e+01 3.326704025268554688e+01
1.009973449707031250e+02 2.000000000000000000e+02 9.967784881591796875e+01
1.239802246093750000e+02 2.000000000000000000e+02 9.892560577392578125e+01
6.551696777343750000e+00 2.000000000000000000e+02 2.236900634765625000e+02
2.000000000000000000e+02 1.765257873535156250e+02 9.337654876708984375e+01
0.000000000000000000e+00 1.291053466796875000e+02 2.181907806396484375e+02
0.000000000000000000e+00 1.478632202148437500e+02 2.346788940429687500e+02
2.000000000000000000e+02 1.531112670898437500e+02 8.751854705810546875e+01
2.000000000000000000e+02 9.652755737304687500e+01 6.945897674560546875e+01
2.000000000000000000e+02 1.736429138183593750e+02 9.269400024414062500e+01
2.000000000000000000e+02 1.894417419433593750e+02 9.631590270996093750e+01
1.966559448242187500e+02 2.000000000000000000e+02 9.858718872070312500e+01
2.000000000000000000e+02 1.772459716796875000e+02 9.354550170898437500e+01
1.771134338378906250e+02 2.000000000000000000e+02 9.860231781005859375e+01
6.279963302612304688e+01 0.000000000000000000e+00 1.210000038146972656e+01
0.000000000000000000e+00 1.600579833984375000e+02 2.444465789794921875e+02
3.711199951171875000e+01 2.000000000000000000e+02 1.256193695068359375e+02
1.693458557128906250e+02 2.000000000000000000e+02 9.861384582519531250e+01
